,ACC,Algorithm,F1score,F2score,FPR,MCC,model_index,parameters,FNR,FNR_Leak,FNR_Clog,balanced_ACC
126,0.7886731391585761,RF,0.8028585763860948,0.7701833033001981,0.15945031712473573,0.5862675027371987,127,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 10}",0.24971361776738754,0.19009070032135045,0.27944227820570217,0.7954180325539384
60,0.7941519131924615,RF,0.8158882603139016,0.8030643101396379,0.20735729386892177,0.5857485858085067,61,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 20}",0.20481589713617768,0.14436989429559088,0.2338450522856747,0.7939134044974503
136,0.7882695602512849,RF,0.8020934561947781,0.7686558787760724,0.15761099365750528,0.5856887896764043,137,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 10}",0.25175920514319117,0.18759070032135047,0.28318213598021974,0.7953149005996519
26,0.7902189225204646,svm_rbf,0.806560120166886,0.7784790142829049,0.17050739957716704,0.5855557890342912,27,"{'kernel': 'rbf', 'C': 100, 'gamma': 0.01}",0.23884278199883116,0.15269013831026212,0.2806678400675528,0.795324909212001
34,0.7863278126784694,RF,0.7980962063548762,0.7602418374519057,0.14742071881606766,0.5853687066354724,35,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 8}",0.26265341905318534,0.19441818570146743,0.2963156473682052,0.7949629310653736
30,0.7874928612221587,RF,0.8007552148434337,0.7664096470315043,0.15568710359408033,0.585278555989322,31,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 8}",0.2544476914085331,0.1942000038832856,0.2843707060925706,0.7949326024986935
52,0.7902265372168285,RF,0.8068090509750205,0.7798331407806448,0.17329809725158563,0.5852642652936866,53,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 10}",0.23677381648158977,0.17431431416880333,0.2674371791910132,0.7949640431334123
158,0.7874966685703407,RF,0.8008909649864216,0.7664623678432784,0.1557505285412262,0.5850219821623989,159,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 20}",0.25448275862068975,0.18576321494123352,0.28825252694901954,0.7948833564190422
156,0.7890500666285932,RF,0.8043076463399372,0.7746032320360456,0.16682875264270614,0.5848704109161043,157,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 20}",0.24360023378141446,0.17709209194658113,0.2760385728639163,0.7947855067879398
120,0.7917989720159908,RF,0.8106941030342912,0.7902101688837888,0.18896405919661732,0.5846342257502475,121,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 10}",0.222489772063121,0.16372912570745388,0.2507061857636993,0.7942730843701307
56,0.7871083190557776,RF,0.8010839595466698,0.7678448546687888,0.1593868921775899,0.5833133169712176,57,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 10}",0.25243717124488607,0.19481292254357271,0.2811264649245487,0.7940879682887622
100,0.7878812107367219,RF,0.8029067442163327,0.7727786735397156,0.16682875264270614,0.5830571943214944,101,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 8}",0.24562244301578026,0.18536847809912824,0.27494759432462546,0.7937744021707567
