,ACC,Algorithm,F1score,F2score,FPR,MCC,model_index,parameters,FNR,FNR_Leak,FNR_Clog,balanced_ACC
62,0.7252747252747254,RF,0.7687573609740794,0.7643230685655382,0.33333333333333337,0.442371111675735,63,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 20}",0.23444444444444443,0.0,0.23444444444444443,0.716111111111111
42,0.7252747252747254,RF,0.7687573609740794,0.7643230685655382,0.33333333333333337,0.442371111675735,43,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 10}",0.23444444444444443,0.0,0.23444444444444443,0.716111111111111
22,0.7252747252747254,RF,0.7687573609740794,0.7643230685655382,0.33333333333333337,0.442371111675735,23,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 8}",0.23444444444444443,0.0,0.23444444444444443,0.716111111111111
2,0.7224175824175824,RF,0.763672662047275,0.7561710783426097,0.3253333333333333,0.4393828198705855,3,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 5}",0.24444444444444444,0.0,0.24444444444444444,0.715111111111111
26,0.7160439560439561,RF,0.7504128874221753,0.7380374157540899,0.30933333333333335,0.4375659538062942,27,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 8}",0.265,0.0,0.265,0.7128333333333333
66,0.7160439560439561,RF,0.7504128874221753,0.7380374157540899,0.30933333333333335,0.4375659538062942,67,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 20}",0.265,0.0,0.265,0.7128333333333333
6,0.7160439560439561,RF,0.7504128874221753,0.7380374157540899,0.30933333333333335,0.4375659538062942,7,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 5}",0.265,0.0,0.265,0.7128333333333333
46,0.7160439560439561,RF,0.7504128874221753,0.7380374157540899,0.30933333333333335,0.4375659538062942,47,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 10}",0.265,0.0,0.265,0.7128333333333333
90,0.7224175824175825,RF,0.765488011128878,0.760033822988111,0.33199999999999996,0.437120163587686,91,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 5}",0.23944444444444443,0.0,0.23944444444444443,0.7142777777777777
86,0.7160439560439561,RF,0.7500912499952749,0.7353562563338002,0.30400000000000005,0.43626828383232363,87,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 5}",0.26944444444444443,0.0,0.26944444444444443,0.7132777777777777
