,ACC,Algorithm,F1score,F2score,MCC,model_index,parameters,FNR,FNR_Leak,FNR_Clog,MCC_multiclass,FPR,FPR_Leak,FPR_Clog,balanced_ACC
111,0.785036149,RF,0.794056637,0.747816599,0.590452746,112,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': False, 'max_depth': 8}",0.279576943,0.201473684,0.315548173,0.668427997,0.126222222,0.012398119,0.071134615,0.797100417
94,0.778310704,RF,0.780768718,0.721574468,0.590451108,95,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 5}",0.312554204,0.217894737,0.356323367,0.664939187,0.096888889,0.015611285,0.046384615,0.795278453
56,0.785032622,RF,0.794096598,0.747453406,0.590386458,57,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 10}",0.280232681,0.205684211,0.314640089,0.66882486,0.125333333,0.016520376,0.064971154,0.797216993
45,0.790290954,RF,0.804760983,0.77122834,0.590261453,46,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': False, 'max_depth': 10}",0.249116869,0.177157895,0.28234773,0.673043614,0.155555556,0.017439916,0.084778846,0.797663788
153,0.789536237,RF,0.80350681,0.767866277,0.590223838,154,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': False, 'max_depth': 20}",0.253675304,0.174947368,0.289988926,0.672423997,0.151111111,0.015151515,0.084769231,0.797606792
51,0.787282666,RF,0.798895027,0.758313556,0.590079006,52,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': False, 'max_depth': 10}",0.265954521,0.172842105,0.308881506,0.670449237,0.139555556,0.012398119,0.080432692,0.797244962
34,0.785029095,RF,0.794347085,0.747976249,0.589986757,35,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 8}",0.27958752,0.203684211,0.314684385,0.668613971,0.126222222,0.016071055,0.066230769,0.797095129
95,0.779425145,RF,0.783310011,0.726701777,0.589980713,96,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': False, 'max_depth': 5}",0.306081438,0.205684211,0.352469546,0.666735464,0.103111111,0.021572623,0.042673077,0.795403725
100,0.783939341,RF,0.792208769,0.744606765,0.589940442,101,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 8}",0.283437335,0.203473684,0.320310078,0.667212926,0.123555556,0.009639498,0.073009615,0.796503555
59,0.786168224,RF,0.796634786,0.754168979,0.589565276,60,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': False, 'max_depth': 10}",0.271136965,0.191368421,0.308017719,0.670426136,0.135111111,0.022946708,0.063067308,0.796875962
