,meanci_1,Diff_median_of_plot,CWSI_minus_CWSI_of_row,Type,Y_binary
338,6.755620611802893,0.4598535156249994,0.3723372073511633,Control,1.0
339,5.370477258833812,0.07913452148437727,0.2348693505226766,Clog,0.0
340,5.173204850351631,-0.737498779296871,-0.2472618916685169,Clog,0.0
341,5.145793575934579,-0.8120593261718767,0.3162833215351397,Clog,0.0
342,5.748983524022353,-1.69845092773437,-0.246240778175384,Clog,0.0
343,5.576487629833863,0.9948583984375077,0.04752435352686168,Leak,
344,5.794557313235561,0.7851123046875017,0.1063971532448904,Leak,
345,6.05635434156709,-1.630858154296867,-0.05723396856210705,Clog,0.0
346,5.854993397278541,-0.8900598144531244,-0.4109775239507471,Clog,0.0
347,6.232816097211618,1.30648315429687,0.6237152779760515,Control,1.0
348,5.898783171957067,0.5005981445312457,0.01207645598832896,Control,1.0
349,6.387493114246261,-1.300389404296872,-0.4562594573540558,Clog,0.0
350,6.114352851334925,-1.379097900390626,-0.01082774910173745,Control,1.0
351,5.82430403887739,-1.71604370117187,-0.1793794569233267,Clog,0.0
352,4.742883129571023,-0.7064965820312494,0.2186606409345912,Clog,0.0
353,5.858338808790148,-1.770285644531242,-0.169802511158102,Clog,0.0
354,6.560922247861619,-2.36835205078124,-0.4203854944556529,Clog,0.0
355,5.410232099787496,-0.9811303710937409,-0.1371901825606103,Clog,0.0
356,5.884192619732801,1.665805664062503,0.5647069248887064,Leak,
357,5.068869646897831,-0.6907080078124892,0.0891667074759585,Clog,0.0
358,7.310728911069045,-0.5591564941406233,0.0365624547212744,Control,1.0
359,5.149460005045349,0.1748925781250037,0.08508973405479286,Control,1.0
360,6.488790370349864,0.7289440917968761,0.4485899020987723,Control,1.0
361,6.771010214687948,0.5513378906249926,0.3961332343311401,Control,1.0
362,5.534399553119325,1.511242675781247,0.6362743368701469,Leak,
363,6.546032590193906,-2.537574462890618,-0.515530035962336,Clog,0.0
364,6.50007752355631,-2.73928344726562,-0.1776264732364332,Clog,0.0
365,5.319063996861519,-0.3758825683593798,0.1570948603607917,Clog,0.0
366,6.49934627338622,1.03272216796875,0.2861712180236969,Control,1.0
367,6.24387995346272,0.9439428710937463,0.4560843245877983,Leak,
368,5.527513676387436,-1.208813476562497,-0.2713679578679903,Clog,0.0
369,8.297468018326462,-1.388189697265624,-0.2711330247429612,Clog,0.0
370,6.914304631106308,-2.868607177734368,-0.5112234287169592,Clog,0.0
371,2.444019578107955,1.26904296875,0.2100056980505834,Leak,
372,6.493661173732328,-2.079129638671873,-0.3879849324467909,Clog,0.0
373,5.761353716095254,-1.535277099609374,-0.3902262589745771,Clog,0.0
374,5.144746588060841,-0.03394775390625426,0.214561391305173,Clog,0.0
375,6.984756566521703,-3.220330810546869,-0.3965519021861136,Clog,0.0
376,8.61800915715813,-2.237337646484377,-0.4091957102548718,Clog,0.0
377,5.740229624208776,-1.620050048828119,-0.3405100610357034,Clog,0.0
378,5.026837949372325,-0.8196081542968727,-0.6931609282845282,Clog,0.0
379,4.981966761485484,-0.6359460449218659,-0.633585057763346,Clog,0.0
380,4.879573614526439,-0.6385180664062489,-0.6317424828750708,Clog,0.0
381,4.766435367882266,0.3229577636718659,0.2495795911738052,Clog,0.0
382,6.439728164744515,-0.5480737304687509,-0.02307112047611137,Clog,0.0
383,5.903088431532055,-2.269324951171868,-0.371289969668341,Control,1.0
384,6.04087194139791,-1.404929199218742,-0.05798536419282463,Control,1.0
385,4.63601884489935,0.1598132324218824,0.2733663741854772,Leak,
386,5.029507013400959,0.54608154296875,0.01794055498574235,Leak,
387,4.605328116231483,0.5931909179687551,0.2191473118140884,Leak,
388,4.963126166362407,0.2425292968750057,-0.1109861762263125,Leak,
389,3.588121599250265,1.804715576171873,0.3721049318365448,Leak,
390,7.018891498243782,-1.334594726562507,-0.1948667451522927,Leak,
391,6.79158119274669,-0.4997998046875054,-0.05764987684594036,Leak,
392,4.094217949572172,0.496560058593758,0.366748266816067,Leak,
