,Type,Plot,Site_Name,mean,min,prctile5,max,prctile95,std,MTD,median,skewness,kurtosis,IQR,MAD,meanci_1,meanci_2,Diff_median_of_plot,Diff_mean_of_plot,Diff_std_of_plot,Diff_median_of_row,Diff_mean_of_row,Diff_std_of_row,prctile33,mean_first_ring,mean_second_ring,mean_third_ring,mean_core,median_first_ring,median_second_ring,median_third_ring,median_core,CWSI,CWSI_minus_CWSI_of_row
1206,Control,A,Sde_David,3.76419552,0.42018738,1.22529488,13.10955658,8.83008652,2.127870103,12.6893692,3.37000885,2.098327967,8.05239536,1.172574043,1.338551003,3.64663729,3.88175376,-0.79013443,-0.499127535,0.17943846,-0.850048065,-0.614158699,0.204024521,2.18054627,3.51924708,2.90272828,3.08182789,3.5184649,3.49980774,2.9500412,3.04989471,3.47999039,0.263812718,-0.188169679
1208,Control,A,Sde_David,3.68651717,0.78015556,1.91000938,13.13879242,8.28546906,2.042189244,12.35863686,3.08990326,2.119482528,7.832270676,1.692414284,1.40124267,3.61475039,3.75828395,-0.510028839,-0.421449184,0.265119319,-0.569942474,-0.536480348,0.28970538,2.16364919,3.95336893,3.54982537,2.90743466,2.25892317,3.1498703,3.14034119,2.83981552,2.22005692,0.259400722,-0.183757683
1209,Control,A,Sde_David,3.58269618,0.53013649,1.42005997,13.16841736,8.63459015,2.253519018,12.63828087,2.91986885,1.760372373,6.299975515,2.41015625,1.656019798,3.49998455,3.66540782,-0.339994431,-0.317628194,0.053789545,-0.399908066,-0.432659358,0.078375606,1.75487457,4.14166938,2.96239253,2.6984243,2.35399914,3.14508858,2.45997658,2.62014618,2.29001846,0.152665622,-0.077022583
1210,Control,A,Sde_David,3.36259261,0.71003761,1.37004232,13.010672,8.62142086,2.175102621,12.30063438,2.68988266,1.956178069,6.902532996,1.947911263,1.535166925,3.28622859,3.43895663,-0.11000824,-0.097524623,0.132205943,-0.169921875,-0.212555787,0.156792004,1.69628662,3.42819762,3.87091742,2.5072258,2.09079856,2.64998474,3.25507774,2.41970673,1.85993423,0.137367727,-0.061724689
1217,Control,A,Sde_David,3.34008221,0.41010132,1.10014286,13.17048492,8.15490379,2.129207693,12.76038361,2.78008118,1.960048337,7.433685339,1.84498024,1.478633164,3.26673967,3.41342474,-0.200206757,-0.075014215,0.17810087,-0.260120392,-0.190045379,0.202686931,1.64323652,3.4351552,3.40867214,3.01491002,3.92573051,2.46050682,2.85978165,3.09001579,3.93985214,0.123515821,-0.047872783
1222,Control,A,Sde_David,3.88223655,0.25013504,1.56014347,13.25003204,9.73512268,2.494160763,12.999897,2.98003349,1.71516157,5.446847858,2.059911728,1.842138338,3.78690658,3.97756651,-0.200159073,-0.417168557,-0.186852199,-0.260072708,-0.532199721,-0.162266138,2.00431996,4.78879349,3.11176183,2.46779689,2.49835214,3.50523911,2.70998726,2.48998222,2.55994568,0.174699454,-0.099056415
1224,Control,A,Sde_David,3.5924653,0.10001335,1.12997494,13.36121521,9.07562981,2.357881729,13.26120186,2.97498283,1.720887973,6.059141074,2.169790268,1.684296273,3.50888936,3.67604124,-0.195108414,-0.127397306,-0.050573166,-0.255022049,-0.24242847,-0.025987105,1.66456722,3.65388419,3.98182121,2.49011067,2.21780794,2.90003357,3.47483788,2.64500198,2.05996284,0.08109863,-0.005455592
1225,Control,A,Sde_David,3.67078677,0.11021767,1.6401432,13.36954651,8.59968071,2.113192853,13.25932884,3.03995285,2.097200261,7.908164806,1.759923935,1.454299746,3.60406691,3.73750662,-0.26007843,-0.205718779,0.19411571,-0.319992065,-0.320749943,0.218701771,2.07819725,4.04745579,3.56433757,2.85181309,2.72915987,3.25996361,2.92015228,2.73024902,2.74011383,0.195052418,-0.119409379
1230,Control,A,Sde_David,3.4296227,-0.41985474,0.70002766,13.12028732,8.43804016,2.3836767,13.54014206,3.00009003,1.395563499,5.354953732,2.750177383,1.776725469,3.35542389,3.5038215,-0.420215607,-0.164554707,-0.076368137,-0.480129242,-0.279585871,-0.051782076,1.2465092,4.03979197,3.33794694,2.29918554,1.42371596,3.67973557,3.07982483,2.24997749,1.19998493,0.01992639,0.055716648
1240,Control,A,Sde_David,3.81443003,0.49016991,1.6103693,13.11801376,8.103339,1.968326561,12.62784386,3.37003555,1.925866876,7.792326029,1.770033836,1.351093613,3.73092952,3.89793054,-0.790161133,-0.549362038,0.338982003,-0.76984787,-0.524853454,0.364542849,2.2057584,4.03654709,3.30997525,2.91934687,3.00410658,3.59014931,3.20027962,2.91988411,2.9749054,0.270395853,-0.165730906
