,median,meanci_1,Diff_median_of_plot,Diff_mean_of_row,Type,Y_binary
107,2.029973219999999,2.7115616,0.849901199,0.313200386,Leak,1.0
59,1.949938199999998,2.752286769999998,0.629936218,0.665229264,Leak,1.0
632,3.280049900000002,3.878645800000001,-0.500175476,-0.514218666,Control,1.0
634,3.100137330000003,3.614572729999999,-0.320262909,-0.282098252,Control,1.0
100,3.849757770000004,4.364705990000004,-0.569883347,-0.403677695,Leak,1.0
440,2.430187230000001,3.174863680000001,0.980129242,0.83798188,Clog,0.0
684,2.970019910000005,3.643453829999999,-0.190145493,-0.40331455,Control,1.0
558,3.380094909999997,3.631551219999999,-0.80022049,-0.476698991,Control,1.0
659,3.441242219999999,3.774839100000001,-0.761367798,-0.583530335,Control,1.0
179,2.399835969999998,2.98527584,0.180038452,0.143461982,Clog,0.0
304,2.180048370000002,2.879920139999996,0.39982605,0.22421317,Clog,0.0
393,3.52002792,4.109031259999998,-0.540153503,-0.017326019,Clog,0.0
439,2.13999939,2.920774010000002,1.270317078,1.027642435,Clog,0.0
734,4.40996857,4.999096900000001,-0.530094147,-0.487263099,Control,1.0
149,1.600028989999998,2.331074440000002,1.079845428,0.787372738,Leak,1.0
124,3.029864879999998,3.359034219999998,-0.249990463,0.015757502,Leak,1.0
607,3.039952849999999,3.60406691,-0.26007843,-0.320749943,Control,1.0
664,3.569982150000001,4.349577160000003,-0.790107727,-0.83391043,Control,1.0
185,2.720129389999997,3.338595139999995,0.359745026,0.008130445,Clog,0.0
517,3.829845429999999,4.605416290000001,-0.649971008,-0.364265793,Control,1.0
656,2.770158389999999,3.572667870000004,0.009716034,-0.212767891,Control,1.0
431,4.080211640000002,4.564045780000001,-0.669895172,-0.588797213,Clog,0.0
752,4.81045761,5.297214169999997,-1.230583191,-1.166211146,Control,1.0
433,4.1497879,4.759322689999998,-0.739471436,-1.06018244,Clog,0.0
321,2.390057369999997,3.005924680000003,0.589817047,0.258831323,Clog,0.0
353,2.89061203,3.601433319999998,0.419704437,0.342205438,Clog,0.0
704,4.040034479999999,4.702952120000003,-0.160160065,-0.536119631,Control,1.0
142,1.700034329999998,2.441265519999998,0.679840088,0.311233534,Leak,1.0
662,3.129806520000002,3.795684770000001,-0.449932098,-0.610150961,Control,1.0
141,3.049961089999996,3.566029749999998,-0.37008667,-0.432178618,Leak,1.0
399,3.579978939999997,4.01358982,-0.400104523,-0.146747272,Clog,0.0
487,2.809937290000004,3.641053530000004,-0.330062866,-0.406420123,Control,1.0
320,3.820130160000001,4.751152340000001,-0.840255737,-0.565445937,Clog,0.0
19,2.730017849999999,3.532154350000003,0.149856567,0.076309449,Leak,1.0
172,1.880146029999999,2.516689200000002,0.799728394,0.312641248,Clog,0.0
623,2.849588009999998,3.713796670000001,-0.069713593,-0.323604138,Control,1.0
312,2.690015789999997,3.347863940000003,-0.010141373,-0.106758077,Clog,0.0
390,3.87990074,4.528246310000004,-0.900026321,-0.405231025,Clog,0.0
710,5.070044710000001,5.532981179999997,-1.190170288,-1.282955136,Control,1.0
12,2.690129849999998,3.37607277,0.089744568,-0.214822234,Leak,1.0
407,2.119998549999998,2.847375750000005,0.65987587,0.492050938,Clog,0.0
408,3.079970930000002,3.833052899999998,-0.300096512,-0.365203243,Clog,0.0
305,2.179879759999999,2.94199571,0.599994659,1.066390341,Clog,0.0
354,3.359147640000003,3.830559319999999,-0.579273224,-0.257308291,Clog,0.0
25,2.514957809999999,3.090336569999998,0.064916611,0.093870995,Leak,1.0
572,3.455091859999996,3.714553949999996,-0.875217438,-0.538964714,Control,1.0
169,2.249961089999996,2.908516029999998,0.12991333,-0.227357755,Clog,0.0
38,2.969805149999999,3.551238579999996,-0.389930725,-0.331433917,Leak,1.0
501,3.870113750000002,4.51762574,-0.290239334,-0.245412509,Control,1.0
245,3.119768520000001,3.808610369999997,-0.539894104,-0.687753325,Clog,0.0
298,2.170351410000002,2.781785159999998,0.40952301,-0.077914737,Clog,0.0
637,3.72018585,4.119911909999999,-0.940311432,-0.747606385,Control,1.0
416,4.310043719999996,4.988116650000002,-0.730169296,-0.812165586,Clog,0.0
622,3.350076290000004,3.89315422,-0.570201874,-0.475364128,Control,1.0
272,4.109732059999999,4.486897810000002,-0.799415588,-0.555152105,Clog,0.0
586,2.819923779999996,3.335021990000001,-0.240049362,-0.216561297,Control,1.0
154,2.569714360000003,3.134252210000003,-0.089839935,-0.282388371,Clog,0.0
126,2.609986880000001,3.170474480000003,0.169887543,0.474505298,Leak,1.0
547,3.319975280000001,3.852116099999996,-0.740100861,-0.619713034,Control,1.0
341,2.279980470000002,3.012601050000004,0.199893951,0.290135919,Clog,0.0
