ID,Label,RTK_Num,Plot,row,Site_Name,cluster_number,Tree_num,Longitude,Latitude,mean,min,prctile5,max,prctile95,std,Std_plot,MTD,median,skewness,kurtosis,IQR,MAD,Meanci_1,Meanci_2,centroidY,centroidX,Diff_median_of_plot,Diff_mean_of_plot,Diff_std_of_plot,Diff_median_of_row,Diff_mean_of_row,Diff_std_of_row,AirTemp,mean_prctile33,mean_First_ring,mean_second_ring,mean_three_ring,mean_core,median_First_ring,median_second_ring,median_three_ring,median_core,CWSI,CWSI_minus_CWSI_of_row
3664,,,A,65,Sde_David,3348,39,172076.842,608472.168,34.42616179,32.07014084,32.56987362,43.67965698,39.83047771,2.202531539,2.307308563,11.60951614,33.70011139,2.181176571,7.583368767,1.430093765,1.490977289,34.28263031,34.56969327,3003.740904,4280.478501,-0.520236969,-0.5610938,0.104777024,-0.300178528,-0.333569495,-0.037873608,30.7,32.89851602,34.97932499,33.37822663,33.13680984,32.97308095,34.3149395,33.344841,33.15507889,33.06003761,0.287118831,-0.049992602
3665,,,A,65,Sde_David,3349,40,172076.7345,608474.3457,34.79520479,32.64023972,33.02014923,43.73099899,40.03453903,2.137028645,2.307308563,11.09075928,33.90991783,1.888128901,5.996886771,1.641078949,1.552454555,34.63970981,34.95069977,2975.381868,4279.07967,-0.730043411,-0.930136796,0.170279918,-0.50998497,-0.702612491,0.027629286,30.7,33.29679732,34.88407511,33.66688264,33.50868025,33.63393171,34.45002747,33.61999893,33.58519173,33.50493622,0.388467702,-0.151341474
3666,,,A,65,Sde_David,3350,41,172076.6057,608476.3402,34.85361764,32.25013351,33.04523468,43.60798264,39.76419754,2.054228936,2.307308563,11.35784912,34.21010399,2.153500876,7.733841143,1.505407333,1.392124062,34.70576861,35.00146668,2949.408602,4277.401882,-1.030229568,-0.988549652,0.253079628,-0.810171127,-0.761025348,0.110428995,30.7,33.37411411,35.38550605,33.75640081,33.68915213,33.54459546,34.88001251,33.70992088,33.59999084,33.5100441,0.40814216,-0.171015932
3667,,,A,65,Sde_David,3351,42,172076.3724,608480.7323,34.71830615,32.25007629,32.57014847,43.74730682,40.3629961,2.340146792,2.307308563,11.49723053,33.88131714,1.75370328,5.693915566,2.223938942,1.724217086,34.61921776,34.81739454,2892.211655,4274.36317,-0.701442719,-0.85323816,-0.032838228,-0.481384277,-0.625713856,-0.175488861,30.7,32.91805934,34.22307608,35.5190344,34.38005969,33.34566176,33.0999527,34.62504005,33.90997505,33.29005814,0.292091933,-0.054965705
3668,,,A,65,Sde_David,3352,43,172076.0314,608486.593,34.86488675,32.17003632,32.57996674,43.75091171,39.73376331,2.123911106,2.307308563,11.5808754,34.29001999,1.761462104,6.333889883,1.99370575,1.521727839,34.77545388,34.95431963,2815.891655,4269.923006,-1.110145569,-0.999818764,0.183397458,-0.890087128,-0.772294459,0.040746825,30.7,33.1307446,34.34643586,35.4641325,34.2715925,33.8146393,33.7799263,35.0899086,34.20999146,33.71519089,0.346213004,-0.109086776
3669,,,A,65,Sde_David,3359,50,172073.9808,608520.5341,33.81435284,31.29021835,32.01006355,43.69685745,39.14155197,2.186063561,2.307308563,12.4066391,33.07004738,2.212488208,7.825639086,1.439739227,1.495438745,33.74335159,33.88535409,2373.894072,4243.219539,0.109827042,0.050715149,0.121245002,0.329885483,0.278239454,-0.02140563,30.7,32.32150978,34.4454074,34.04013175,32.77060132,32.42277705,33.3099556,32.96987152,32.59007645,32.39018631,0.140290619,0.09683561
3670,,,A,65,Sde_David,3361,52,172073.1381,608533.9774,33.59604027,31.35005569,31.82004547,43.75088501,39.30814362,2.262405743,2.307308563,12.40082932,32.81017113,2.386411964,8.592289947,1.309452057,1.497786614,33.51774602,33.67433453,2198.829595,4232.245171,0.369703293,0.269027716,0.044902821,0.589761734,0.49655202,-0.097747812,30.7,32.12098944,34.32384012,33.58865338,32.33920756,32.39576275,33.24003601,32.68009567,32.30993462,32.37495804,0.089265099,0.147861129
3671,,,A,65,Sde_David,3362,53,172072.6775,608540.9593,34.56956583,31.96009636,32.48994293,43.65131378,39.34897461,2.075975984,2.307308563,11.69121742,34.04005623,1.93151249,7.01398826,1.79450798,1.44889973,34.49213897,34.6469927,2107.908104,4226.247106,-0.860181808,-0.704497844,0.23133258,-0.640123367,-0.476973539,0.088681947,30.7,32.92232968,34.56599906,35.16682773,33.87541132,33.48153819,33.84993744,34.4899559,33.88014603,33.39487076,0.293178586,-0.056052358
3672,,,A,66,Sde_David,3373,11,172081.474,608322.9539,34.59764204,32.58001709,32.97994766,43.74170685,39.49300613,1.993226551,2.307308563,11.16168976,33.89985847,2.148766929,7.57483171,1.629711151,1.388279337,34.51027744,34.68500664,4946.875125,4340.799201,-0.719984055,-0.732574049,0.314082013,-0.669910431,-0.695157006,0.203849792,30.6,33.19414936,34.84481623,34.66966645,33.57232962,33.27017225,33.9801178,34.13996124,33.38016129,33.1498642,0.371808579,-0.180807737
3673,,,A,66,Sde_David,3374,12,172081.0101,608329.8756,34.24084551,32.11013794,32.65983963,43.76778412,39.09446716,2.006383899,2.307308563,11.65764618,33.55996323,2.375909862,8.847389196,1.419797897,1.349812211,34.17855579,34.30313524,4856.738215,4334.758275,-0.380088806,-0.375777524,0.300924664,-0.330015182,-0.33836048,0.190692443,30.6,32.89341839,34.45079692,34.62638411,34.01332665,32.98801429,33.7198143,33.76969528,33.46076584,32.8699398,0.293284746,-0.102283904
3674,,,A,66,Sde_David,3376,14,172080.702,608337.4332,34.46639011,32.42029953,32.96008072,43.68300247,38.51758461,1.775390677,2.307308563,11.26270294,33.95002174,2.499211097,10.07930703,1.299688339,1.151924126,34.34499042,34.5877898,4758.319175,4330.746359,-0.770147324,-0.60132212,0.531917886,-0.7200737,-0.563905076,0.421685665,30.6,33.2115277,34.32502845,33.69449351,33.40846896,33.18913217,34.10991478,33.67986679,33.36496735,33.21498299,0.376346235,-0.185345393
3675,,,A,66,Sde_David,3377,15,172080.3744,608340.5648,34.26293539,32.36035156,32.65000305,43.72805023,38.86061935,2.027830503,2.307308563,11.36769867,33.54987335,2.335344575,8.754253396,1.440338135,1.393145894,34.17315151,34.35271927,4717.538226,4326.479613,-0.369998932,-0.397867401,0.27947806,-0.319925308,-0.360450358,0.169245839,30.6,32.89008809,34.4798015,33.97270703,33.22530159,33.22916191,33.60974312,33.57000732,33.21985626,33.2401104,0.292415171,-0.101414329
